pop	clust1	clust2	clust3	clust4	clust5
half	0.0223	0.9259	0.0177	0.0154	0.0187
half	0.1127	0.1414	0.5172	0.1646	0.0641
half	0.1673	0.0279	0.4849	0.2257	0.0942
half	0.1219	0.0299	0.0382	0.2394	0.5706
half	0.0498	0.0273	0.8384	0.0521	0.0323
half	0.2287	0.0361	0.0850	0.3292	0.3209
half	0.0636	0.3208	0.4298	0.0970	0.0888
half	0.3865	0.0203	0.3645	0.1048	0.1239
half	0.1041	0.5004	0.1715	0.0899	0.1342
half	0.0555	0.0952	0.2072	0.4235	0.2186
half	0.5596	0.0374	0.1742	0.0832	0.1456
half	0.1331	0.0840	0.1011	0.3444	0.3373
half	0.0900	0.3375	0.0776	0.3291	0.1658
half	0.1016	0.2779	0.3367	0.0966	0.1873
half	0.1610	0.1361	0.1145	0.4097	0.1786
half	0.0970	0.0374	0.1003	0.0463	0.7190
half	0.4668	0.0183	0.0608	0.3080	0.1461
half	0.3146	0.0930	0.0724	0.4126	0.1075
half	0.3637	0.0247	0.2291	0.2373	0.1453
half	0.3035	0.0301	0.0578	0.5372	0.0714
half	0.1123	0.0661	0.3793	0.3053	0.1370
half	0.5510	0.0364	0.0909	0.1702	0.1515
half	0.1402	0.0207	0.1170	0.5427	0.1795
half	0.0321	0.8628	0.0396	0.0227	0.0429
half	0.1827	0.1055	0.1341	0.4614	0.1163
half	0.2866	0.0566	0.3495	0.1810	0.1264
half	0.2035	0.1176	0.0531	0.3769	0.2489
half	0.2047	0.2110	0.0752	0.1106	0.3985
half	0.1066	0.0348	0.1340	0.3079	0.4167
half	0.1095	0.0564	0.3050	0.2827	0.2463
half	0.3436	0.0541	0.1002	0.3306	0.1715
half	0.2708	0.0159	0.3178	0.1793	0.2162
half	0.3476	0.0955	0.0803	0.1639	0.3127
half	0.1644	0.0204	0.3511	0.2721	0.1920
half	0.0438	0.0458	0.1896	0.1743	0.5465
half	0.3289	0.2564	0.1660	0.0916	0.1571
half	0.2599	0.0421	0.2874	0.2847	0.1259
half	0.2040	0.0622	0.2345	0.2641	0.2351
half	0.0656	0.7206	0.0381	0.0905	0.0852
half	0.4018	0.2480	0.1357	0.0604	0.1541
half	0.3440	0.2480	0.0642	0.1901	0.1537
half	0.4352	0.1332	0.0620	0.2162	0.1533
half	0.3964	0.0342	0.0193	0.2332	0.3169
half	0.0355	0.0265	0.8062	0.0560	0.0757
half	0.1253	0.0201	0.4586	0.1092	0.2868
half	0.2856	0.0307	0.3890	0.1912	0.1035
half	0.2878	0.0789	0.1784	0.2409	0.2140
half	0.1629	0.0339	0.1026	0.2276	0.4730
half	0.1290	0.0611	0.2459	0.1647	0.3993
half	0.3292	0.2681	0.0713	0.0967	0.2347
half	0.2854	0.0314	0.4370	0.1113	0.1348
half	0.2520	0.1580	0.0283	0.1802	0.3815
half	0.0801	0.0567	0.5885	0.1290	0.1457
half	0.1968	0.2863	0.1861	0.0466	0.2842
half	0.1459	0.3294	0.1029	0.3465	0.0753
half	0.1378	0.0497	0.0268	0.2900	0.4958
half	0.1075	0.0278	0.1094	0.5704	0.1849
half	0.6473	0.0394	0.0494	0.1738	0.0901
half	0.6803	0.0226	0.0713	0.1128	0.1131
half	0.3445	0.0415	0.1196	0.3737	0.1206
half	0.1089	0.2629	0.2191	0.1955	0.2136
half	0.0764	0.5588	0.1013	0.0907	0.1728
half	0.0489	0.1226	0.3569	0.0685	0.4030
half	0.6282	0.1326	0.1021	0.0473	0.0898
half	0.6670	0.1282	0.0460	0.0940	0.0647
half	0.3494	0.0317	0.2653	0.1611	0.1924
half	0.2911	0.0196	0.5396	0.0665	0.0834
half	0.3529	0.2746	0.0721	0.1188	0.1816
half	0.7419	0.0232	0.0199	0.0514	0.1636
half	0.1168	0.0518	0.1705	0.0734	0.5875
half	0.1560	0.0161	0.2593	0.1528	0.4158
half	0.0793	0.1129	0.4359	0.0672	0.3046
half	0.1059	0.0787	0.0412	0.6065	0.1677
half	0.3640	0.0568	0.2602	0.1011	0.2179
half	0.4070	0.2768	0.1928	0.0664	0.0570
half	0.5268	0.2071	0.0267	0.1860	0.0533
half	0.2113	0.5504	0.0867	0.0654	0.0861
half	0.0929	0.0303	0.1664	0.5306	0.1798
half	0.2932	0.4001	0.0867	0.0547	0.1653
half	0.0424	0.0309	0.8051	0.0638	0.0578
half	0.0676	0.1228	0.1333	0.2116	0.4646
half	0.2890	0.3831	0.1301	0.0894	0.1084
half	0.1799	0.0410	0.1579	0.2225	0.3988
half	0.1981	0.2593	0.0507	0.4005	0.0914
half	0.2732	0.0376	0.0956	0.4057	0.1880
half	0.7557	0.0784	0.0666	0.0528	0.0466
half	0.1470	0.0787	0.0659	0.4906	0.2178
half	0.3186	0.0719	0.0470	0.4930	0.0696
half	0.1266	0.5681	0.0679	0.0899	0.1476
half	0.3577	0.0720	0.3145	0.1144	0.1413
half	0.1498	0.0400	0.3463	0.1157	0.3483
half	0.0908	0.0166	0.6814	0.0434	0.1678
half	0.0568	0.0620	0.0339	0.7675	0.0798
half	0.2188	0.0423	0.3027	0.2502	0.1860
half	0.4629	0.0441	0.1922	0.1863	0.1144
half	0.1168	0.0355	0.5529	0.2326	0.0622
half	0.3891	0.3814	0.0408	0.1236	0.0651
half	0.1273	0.0478	0.1359	0.5514	0.1376
half	0.1587	0.0474	0.2779	0.3057	0.2103
half	0.0585	0.0464	0.7904	0.0411	0.0636
half	0.0770	0.1690	0.2756	0.3499	0.1286
half	0.1579	0.0512	0.1803	0.3046	0.3060
half	0.4814	0.1225	0.0823	0.1975	0.1163
half	0.0897	0.5734	0.1232	0.1116	0.1021
half	0.0521	0.2523	0.5168	0.0658	0.1130
half	0.2382	0.0334	0.0556	0.3395	0.3333
half	0.1470	0.0337	0.0520	0.6055	0.1618
half	0.1256	0.0262	0.2736	0.3173	0.2572
half	0.4166	0.1181	0.0330	0.1962	0.2361
half	0.6084	0.0830	0.0439	0.1456	0.1190
half	0.2958	0.2594	0.1086	0.2802	0.0560
half	0.1365	0.1714	0.2682	0.2225	0.2014
half	0.0494	0.0122	0.1440	0.1915	0.6029
half	0.4657	0.2486	0.0450	0.0815	0.1592
half	0.3317	0.0749	0.1469	0.0878	0.3588
half	0.8060	0.0306	0.0219	0.0819	0.0597
half	0.0676	0.0197	0.0736	0.7648	0.0744
half	0.1460	0.0290	0.0550	0.3102	0.4598
half	0.1422	0.4882	0.0564	0.1382	0.1750
half	0.0314	0.8911	0.0154	0.0364	0.0255
half	0.7676	0.0724	0.0290	0.0526	0.0785
half	0.2494	0.2525	0.3477	0.0648	0.0856
half	0.2759	0.0585	0.1129	0.4509	0.1018
half	0.2229	0.3033	0.0266	0.2511	0.1960
half	0.3407	0.0201	0.2723	0.2123	0.1546
half	0.7361	0.0186	0.0177	0.1003	0.1274
half	0.5552	0.0498	0.0752	0.1166	0.2032
half	0.0491	0.0318	0.8283	0.0388	0.0521
half	0.4984	0.1104	0.0351	0.1568	0.1992
half	0.1240	0.0461	0.2494	0.0590	0.5215
half	0.0735	0.0928	0.0635	0.6783	0.0919
half	0.2069	0.1042	0.1753	0.3223	0.1913
half	0.1627	0.3425	0.1115	0.2137	0.1697
half	0.6563	0.0144	0.0308	0.1792	0.1193
half	0.5599	0.0247	0.0359	0.2833	0.0962
half	0.5267	0.1947	0.0619	0.1370	0.0797
winter	0.1156	0.0580	0.1250	0.5257	0.1757
half	0.5239	0.0805	0.0949	0.1401	0.1606
winter	0.1468	0.0201	0.0907	0.5672	0.1752
winter	0.7199	0.0158	0.0233	0.1483	0.0927
winter	0.6383	0.0732	0.0321	0.1197	0.1367
half	0.5158	0.0366	0.1608	0.0887	0.1982
winter	0.5062	0.0427	0.0964	0.1607	0.1940
summer	0.3631	0.0388	0.3895	0.0937	0.1149
half	0.7083	0.0229	0.0659	0.1108	0.0921
summer	0.1041	0.1459	0.4312	0.1876	0.1311
summer	0.0825	0.0353	0.7164	0.0873	0.0784
summer	0.0220	0.0174	0.8930	0.0336	0.0340
summer	0.0268	0.0424	0.8676	0.0266	0.0367
summer	0.0343	0.0236	0.8657	0.0438	0.0327
winter	0.1659	0.1141	0.0226	0.4869	0.2105
half	0.2811	0.0634	0.1573	0.3951	0.1030
winter	0.1466	0.0413	0.0532	0.1214	0.6374
winter	0.4287	0.0373	0.0399	0.1065	0.3876
winter	0.0976	0.0604	0.0807	0.6063	0.1550
winter	0.5302	0.0995	0.0317	0.2436	0.0950
half	0.0748	0.6098	0.1334	0.0695	0.1124
winter	0.7316	0.0398	0.0310	0.0562	0.1414
summer	0.0884	0.2854	0.2354	0.1915	0.1994
summer	0.0400	0.0257	0.8782	0.0279	0.0282
summer	0.0488	0.0176	0.7174	0.0730	0.1433
summer	0.3118	0.0480	0.5144	0.0660	0.0598
summer	0.0685	0.0369	0.6581	0.0588	0.1778
summer	0.1221	0.0391	0.4227	0.2421	0.1739
winter	0.4323	0.0284	0.0971	0.1990	0.2432
winter	0.3060	0.0487	0.0797	0.4849	0.0808
winter	0.5545	0.0183	0.1432	0.1024	0.1816
winter	0.3232	0.1703	0.0487	0.3293	0.1284
winter	0.3654	0.0542	0.0984	0.3461	0.1359
half	0.2610	0.2348	0.1148	0.2824	0.1070
winter	0.1901	0.1364	0.0951	0.1243	0.4541
summer	0.0993	0.1062	0.5336	0.0473	0.2135
half	0.0667	0.1164	0.4677	0.2502	0.0990
summer	0.1810	0.0299	0.3877	0.0915	0.3099
summer	0.0342	0.0954	0.8116	0.0212	0.0376
summer	0.0399	0.0338	0.7932	0.0345	0.0986
summer	0.0246	0.0191	0.8992	0.0271	0.0300
winter	0.1219	0.0506	0.0721	0.6514	0.1040
winter	0.5975	0.0198	0.0491	0.1176	0.2160
winter	0.0758	0.0460	0.0793	0.4120	0.3869
winter	0.2751	0.0478	0.0406	0.5305	0.1060
half	0.0873	0.0757	0.6397	0.1117	0.0856
winter	0.1765	0.0461	0.0603	0.1305	0.5866
half	0.0804	0.0529	0.0944	0.3017	0.4706
summer	0.1268	0.0301	0.1315	0.0903	0.6213
summer	0.0569	0.0137	0.8007	0.0728	0.0560
summer	0.0411	0.1438	0.5161	0.2045	0.0945
summer	0.0242	0.0371	0.8467	0.0565	0.0354
summer	0.0439	0.0338	0.8058	0.0513	0.0652
winter	0.1630	0.0814	0.1289	0.4474	0.1793
half	0.2329	0.2887	0.0838	0.2013	0.1933
winter	0.4584	0.0435	0.1122	0.2162	0.1697
winter	0.4198	0.0325	0.0770	0.3534	0.1174
winter	0.3585	0.0985	0.0503	0.3523	0.1404
winter	0.4121	0.0418	0.0385	0.1932	0.3145
half	0.4912	0.1259	0.0370	0.1521	0.1938
winter	0.4804	0.0405	0.0497	0.1878	0.2417
half	0.0811	0.8015	0.0232	0.0640	0.0301
summer	0.0330	0.0145	0.8718	0.0291	0.0516
half	0.0293	0.7992	0.0585	0.0431	0.0699
summer	0.1594	0.0384	0.4631	0.1728	0.1662
summer	0.0542	0.0473	0.6950	0.0570	0.1464
summer	0.0684	0.0714	0.7276	0.0666	0.0659
summer	0.0354	0.0175	0.8859	0.0299	0.0314
winter	0.1305	0.0766	0.3076	0.2608	0.2246
half	0.6283	0.0262	0.1153	0.0616	0.1685
winter	0.0983	0.0266	0.0376	0.7241	0.1135
winter	0.3676	0.0597	0.1158	0.2560	0.2009
winter	0.1072	0.0304	0.0385	0.2134	0.6104
winter	0.2698	0.0838	0.1321	0.2811	0.2331
half	0.2636	0.1265	0.1133	0.2905	0.2060
half	0.2428	0.0949	0.1891	0.3843	0.0890
summer	0.0748	0.0698	0.6400	0.0804	0.1351
summer	0.0359	0.0477	0.8599	0.0261	0.0304
summer	0.0478	0.0093	0.8854	0.0327	0.0248
summer	0.0534	0.0203	0.8538	0.0323	0.0401
summer	0.0203	0.0173	0.9014	0.0310	0.0299
half	0.3732	0.0247	0.0552	0.0473	0.4996
winter	0.0857	0.0349	0.0349	0.7628	0.0818
winter	0.4170	0.0767	0.0929	0.2051	0.2084
winter	0.0927	0.0647	0.3233	0.3254	0.1940
winter	0.7984	0.0546	0.0347	0.0683	0.0440
summer	0.1238	0.1600	0.5368	0.0966	0.0828
summer	0.1013	0.0309	0.7930	0.0293	0.0455
summer	0.0327	0.0205	0.8717	0.0377	0.0374
summer	0.1119	0.0322	0.7535	0.0384	0.0639
summer	0.0288	0.0124	0.8910	0.0281	0.0397
half	0.0683	0.4605	0.2060	0.1040	0.1611
winter	0.2630	0.0311	0.0478	0.5692	0.0889
winter	0.1248	0.0311	0.1484	0.3591	0.3367
winter	0.2302	0.0580	0.1288	0.2598	0.3232
half	0.3987	0.1426	0.2700	0.1377	0.0510
half	0.3776	0.0356	0.1022	0.2507	0.2339
summer	0.0839	0.0336	0.5504	0.1576	0.1746
summer	0.0262	0.0341	0.8650	0.0395	0.0352
summer	0.0265	0.0098	0.9010	0.0328	0.0300
summer	0.4168	0.0156	0.4284	0.0578	0.0815
summer	0.0586	0.0229	0.8276	0.0411	0.0498
half	0.1618	0.5660	0.0787	0.1104	0.0831
half	0.3453	0.4312	0.0586	0.0753	0.0897
half	0.0768	0.0549	0.6209	0.0442	0.2032
half	0.0243	0.8451	0.0568	0.0486	0.0252
half	0.0511	0.0356	0.3849	0.0866	0.4419
half	0.5915	0.0767	0.0413	0.1572	0.1332
half	0.0776	0.0802	0.4277	0.1551	0.2594
half	0.3004	0.1044	0.0350	0.4729	0.0874
half	0.0300	0.8702	0.0379	0.0249	0.0370
half	0.0420	0.6796	0.1635	0.0479	0.0670
half	0.0588	0.8114	0.0214	0.0577	0.0507
half	0.4799	0.0580	0.0437	0.2179	0.2005
half	0.1956	0.0617	0.1235	0.3785	0.2407
half	0.2474	0.0347	0.2270	0.3427	0.1482
half	0.4313	0.0919	0.0467	0.2244	0.2058
half	0.0911	0.4538	0.1456	0.1046	0.2049
half	0.0844	0.3809	0.1818	0.1416	0.2113
half	0.3379	0.1112	0.1749	0.1667	0.2093
half	0.1323	0.4678	0.2173	0.0524	0.1301
half	0.4727	0.0317	0.0780	0.0861	0.3315
half	0.0314	0.8848	0.0242	0.0250	0.0346
half	0.2651	0.0375	0.0291	0.1493	0.5189
half	0.1896	0.0324	0.0139	0.0302	0.7339
half	0.2097	0.1049	0.0744	0.4962	0.1148
half	0.4047	0.0693	0.1021	0.2982	0.1257
half	0.1605	0.0903	0.6039	0.0702	0.0751
half	0.5134	0.1507	0.0884	0.1152	0.1323
half	0.1618	0.2171	0.0658	0.3211	0.2342
half	0.3698	0.0157	0.0696	0.4779	0.0671
half	0.1324	0.0342	0.4058	0.1077	0.3199
half	0.2666	0.0399	0.2380	0.2796	0.1759
half	0.0279	0.8800	0.0217	0.0451	0.0253
half	0.0684	0.0319	0.0913	0.7181	0.0902
half	0.3428	0.0933	0.1424	0.0994	0.3222
half	0.0933	0.0262	0.7211	0.0784	0.0809
half	0.5377	0.1169	0.0625	0.1830	0.0999
half	0.2413	0.3510	0.1136	0.1692	0.1249
half	0.0529	0.4373	0.1704	0.1142	0.2251
half	0.6321	0.0281	0.0370	0.1153	0.1875
half	0.4109	0.0984	0.0250	0.3538	0.1119
half	0.1580	0.0238	0.1061	0.2718	0.4402
half	0.1905	0.0470	0.5765	0.0844	0.1015
half	0.2263	0.4044	0.0319	0.1905	0.1469
half	0.0231	0.9143	0.0166	0.0267	0.0193
half	0.6726	0.0231	0.0782	0.1325	0.0936
half	0.0521	0.0301	0.7607	0.0793	0.0778
half	0.0407	0.0357	0.7554	0.0511	0.1172
half	0.0341	0.8322	0.0439	0.0399	0.0500
half	0.1776	0.0550	0.1051	0.0909	0.5714
half	0.1598	0.1133	0.0976	0.5651	0.0642
half	0.1527	0.0885	0.6207	0.0548	0.0834
half	0.0665	0.5707	0.1938	0.0931	0.0759
half	0.1559	0.4654	0.0282	0.2851	0.0654
half	0.0332	0.8062	0.0368	0.0584	0.0653
half	0.0522	0.0427	0.4925	0.2216	0.1910
half	0.0461	0.0243	0.8310	0.0509	0.0477
half	0.3065	0.0269	0.0748	0.4516	0.1402
half	0.4508	0.0558	0.0299	0.2944	0.1692
half	0.4393	0.0463	0.0381	0.2907	0.1855
half	0.1736	0.3252	0.0724	0.1612	0.2676
half	0.0699	0.7875	0.0368	0.0524	0.0534
half	0.5182	0.2846	0.0252	0.0994	0.0725
half	0.0385	0.8471	0.0445	0.0311	0.0389
half	0.0264	0.8895	0.0239	0.0339	0.0262
half	0.4003	0.0847	0.0987	0.1763	0.2400
half	0.0350	0.7896	0.0623	0.0594	0.0537
half	0.0212	0.8635	0.0542	0.0251	0.0360
half	0.2028	0.0552	0.1670	0.2320	0.3430
half	0.0409	0.1919	0.5551	0.0730	0.1391
half	0.0690	0.1166	0.0499	0.5940	0.1705
half	0.0337	0.7964	0.0727	0.0526	0.0447
half	0.0279	0.3028	0.5940	0.0352	0.0401
half	0.0902	0.1646	0.0473	0.4386	0.2593
half	0.0213	0.8925	0.0202	0.0375	0.0284
half	0.2325	0.1406	0.0508	0.4040	0.1721
half	0.1348	0.5289	0.0476	0.1650	0.1237
half	0.0456	0.7237	0.0679	0.1139	0.0490
half	0.3129	0.0116	0.0618	0.2932	0.3206
half	0.0629	0.7863	0.0290	0.0678	0.0540
half	0.1046	0.0972	0.1733	0.1185	0.5064
half	0.1689	0.0309	0.1202	0.2743	0.4057
half	0.0949	0.4610	0.1336	0.2585	0.0521
half	0.7719	0.0269	0.0440	0.0826	0.0747
half	0.0358	0.7867	0.1080	0.0391	0.0304
half	0.1634	0.0413	0.1581	0.3185	0.3187
half	0.5282	0.0233	0.0994	0.1635	0.1856
half	0.5799	0.0470	0.1070	0.1838	0.0823
half	0.0849	0.3739	0.2161	0.2388	0.0862
half	0.0430	0.5780	0.1222	0.0524	0.2043
half	0.3073	0.2045	0.0925	0.1731	0.2226
half	0.0314	0.0373	0.7780	0.0429	0.1103
half	0.2170	0.0272	0.0890	0.0956	0.5712
half	0.3805	0.1037	0.0550	0.2312	0.2295
half	0.0236	0.3240	0.0352	0.0390	0.5782
half	0.0357	0.8654	0.0260	0.0368	0.0361
half	0.0256	0.8984	0.0234	0.0270	0.0256
half	0.0920	0.4223	0.0961	0.2332	0.1564
half	0.3755	0.0681	0.0899	0.1288	0.3377
half	0.1198	0.0673	0.0953	0.0775	0.6400
half	0.0386	0.0278	0.0466	0.8121	0.0750
half	0.0270	0.8935	0.0162	0.0314	0.0318
half	0.2270	0.0366	0.4945	0.1217	0.1203
half	0.3620	0.0530	0.1018	0.3105	0.1727
half	0.2424	0.0716	0.0864	0.1950	0.4046
half	0.1313	0.3871	0.2586	0.1344	0.0887
half	0.0706	0.5434	0.1860	0.0521	0.1479
half	0.0943	0.4897	0.1771	0.1552	0.0837
half	0.5353	0.0469	0.0593	0.1519	0.2065
half	0.0639	0.0851	0.0685	0.1378	0.6447
half	0.1241	0.0311	0.0404	0.2965	0.5079
half	0.0784	0.0466	0.2497	0.0590	0.5663
half	0.0841	0.7433	0.0556	0.0682	0.0488
half	0.0329	0.9005	0.0186	0.0282	0.0198
half	0.0360	0.8542	0.0393	0.0308	0.0397
half	0.0592	0.0930	0.5317	0.1712	0.1449
half	0.0279	0.8573	0.0462	0.0287	0.0399
half	0.0961	0.6999	0.0782	0.0656	0.0602
half	0.0284	0.0426	0.8498	0.0324	0.0468
half	0.5660	0.1619	0.0217	0.1036	0.1468
half	0.1935	0.0375	0.4860	0.0851	0.1978
half	0.1855	0.0391	0.0964	0.3644	0.3146
half	0.1738	0.0473	0.5006	0.1598	0.1185
half	0.0497	0.7694	0.0725	0.0610	0.0475
half	0.0281	0.0847	0.8009	0.0428	0.0435
half	0.0433	0.1198	0.4635	0.2191	0.1542
half	0.0294	0.8736	0.0227	0.0348	0.0396
half	0.6032	0.0465	0.0432	0.1716	0.1354
half	0.1453	0.1130	0.3527	0.0996	0.2894
half	0.1048	0.0734	0.5448	0.1810	0.0960
half	0.0569	0.4218	0.0430	0.3484	0.1299
half	0.1363	0.1946	0.0827	0.4282	0.1582
half	0.0218	0.9190	0.0177	0.0213	0.0202
half	0.1944	0.2521	0.2734	0.1599	0.1202
half	0.0477	0.6937	0.0550	0.0676	0.1360
half	0.1509	0.0619	0.1727	0.4471	0.1675
