pop	clust1	clust2	clust3	clust4	clust5
half	0.0311	0.0537	0.3439	0.4925	0.0788
half	0.0946	0.0853	0.0639	0.2024	0.5538
half	0.1792	0.1975	0.0540	0.1348	0.4345
half	0.2688	0.0331	0.1676	0.0966	0.4339
half	0.5143	0.0609	0.0565	0.1802	0.1881
half	0.0570	0.0154	0.8169	0.0552	0.0554
half	0.2759	0.0526	0.0399	0.2314	0.4003
half	0.2050	0.0656	0.2002	0.2265	0.3027
half	0.2929	0.0230	0.2546	0.1876	0.2419
half	0.0836	0.1136	0.0453	0.5706	0.1869
half	0.0477	0.1028	0.5261	0.1578	0.1657
half	0.0632	0.6499	0.0513	0.1294	0.1061
half	0.7749	0.0574	0.0568	0.0602	0.0507
half	0.0900	0.0369	0.7280	0.0512	0.0939
half	0.0653	0.2106	0.0759	0.0783	0.5698
half	0.0758	0.0561	0.0316	0.6096	0.2270
half	0.0749	0.0755	0.1420	0.2085	0.4991
half	0.1592	0.0521	0.5208	0.1719	0.0960
half	0.1084	0.0288	0.0653	0.2055	0.5919
half	0.6492	0.0609	0.0663	0.1024	0.1212
half	0.0332	0.0208	0.8817	0.0323	0.0320
half	0.3185	0.0417	0.1207	0.1739	0.3452
half	0.2260	0.2234	0.0502	0.4106	0.0898
half	0.0550	0.6702	0.0251	0.0949	0.1547
half	0.0828	0.0226	0.0538	0.2139	0.6269
half	0.1880	0.1041	0.0548	0.1032	0.5498
half	0.1255	0.3622	0.1288	0.0939	0.2896
half	0.1870	0.3195	0.2075	0.1546	0.1314
half	0.0431	0.0628	0.6300	0.1468	0.1173
half	0.0493	0.0143	0.0451	0.1616	0.7296
half	0.1360	0.0270	0.0409	0.7041	0.0920
half	0.0876	0.0602	0.5493	0.1066	0.1963
half	0.5855	0.0544	0.1161	0.1560	0.0880
half	0.4049	0.0201	0.1911	0.2624	0.1214
half	0.2990	0.0757	0.3348	0.1225	0.1681
half	0.2098	0.0625	0.4827	0.0931	0.1519
half	0.1132	0.0813	0.1186	0.0785	0.6083
half	0.2726	0.0594	0.1291	0.4758	0.0630
half	0.0576	0.0344	0.8425	0.0325	0.0329
half	0.4076	0.0621	0.0494	0.3412	0.1397
half	0.1749	0.0922	0.2255	0.2633	0.2441
half	0.3002	0.1335	0.1668	0.2999	0.0997
half	0.1109	0.0769	0.2209	0.3642	0.2271
half	0.4079	0.0216	0.1455	0.1494	0.2757
half	0.3288	0.0461	0.0400	0.3759	0.2091
half	0.4140	0.0596	0.2409	0.1606	0.1249
half	0.1608	0.0402	0.3962	0.2024	0.2003
half	0.3397	0.0769	0.2274	0.2165	0.1396
half	0.1482	0.0464	0.5957	0.1389	0.0707
half	0.3514	0.0259	0.0717	0.3250	0.2260
half	0.1590	0.0219	0.2027	0.3940	0.2224
half	0.1824	0.0529	0.0583	0.5742	0.1321
half	0.2361	0.1008	0.3262	0.2036	0.1333
half	0.1507	0.0636	0.0631	0.0933	0.6293
half	0.0282	0.9152	0.0146	0.0228	0.0192
half	0.0805	0.0638	0.6358	0.1231	0.0968
half	0.2782	0.0330	0.1036	0.2348	0.3504
half	0.1273	0.3874	0.2849	0.0632	0.1371
half	0.0314	0.8926	0.0252	0.0303	0.0204
half	0.0819	0.0380	0.0984	0.6014	0.1803
half	0.1730	0.0310	0.0720	0.1860	0.5379
half	0.2549	0.0486	0.5184	0.0413	0.1368
half	0.0528	0.0150	0.7878	0.1033	0.0411
half	0.4718	0.0443	0.0271	0.3568	0.0999
half	0.1308	0.0244	0.4492	0.1689	0.2268
half	0.0379	0.7910	0.0560	0.0388	0.0763
half	0.2929	0.0430	0.0695	0.3800	0.2146
half	0.1006	0.1109	0.0503	0.0858	0.6524
half	0.2349	0.0369	0.1028	0.2815	0.3439
half	0.1463	0.5258	0.0875	0.0608	0.1795
half	0.0510	0.0111	0.0438	0.0784	0.8157
half	0.0534	0.0962	0.4076	0.0927	0.3502
half	0.0705	0.0260	0.0477	0.8042	0.0517
half	0.0763	0.0556	0.0926	0.1835	0.5921
half	0.1465	0.1434	0.2795	0.0940	0.3367
half	0.1725	0.0509	0.6071	0.0809	0.0887
half	0.0598	0.0388	0.5907	0.2232	0.0876
half	0.8353	0.0354	0.0259	0.0472	0.0561
half	0.3494	0.1205	0.1138	0.2692	0.1471
half	0.8386	0.0149	0.0447	0.0519	0.0499
half	0.0657	0.7970	0.0207	0.0537	0.0630
half	0.0454	0.0261	0.0255	0.7506	0.1523
half	0.1228	0.0582	0.4511	0.1432	0.2247
half	0.0899	0.7574	0.0535	0.0481	0.0510
half	0.1140	0.0291	0.0586	0.1632	0.6351
half	0.0562	0.0582	0.6608	0.1203	0.1045
half	0.4506	0.0257	0.0743	0.3268	0.1227
half	0.0941	0.0143	0.7992	0.0532	0.0392
half	0.2151	0.0409	0.1269	0.4185	0.1986
half	0.2712	0.0578	0.1733	0.2957	0.2020
half	0.0830	0.0972	0.0869	0.5879	0.1450
half	0.0479	0.8212	0.0381	0.0386	0.0542
half	0.1910	0.2163	0.0816	0.4000	0.1111
half	0.2623	0.0399	0.0663	0.2839	0.3476
half	0.0647	0.5097	0.1519	0.0676	0.2062
