pop	clust1	clust2	clust3
half	0.5392	0.1196	0.3412
half	0.1913	0.6332	0.1756
half	0.7103	0.0463	0.2434
half	0.1470	0.2206	0.6324
half	0.7423	0.0879	0.1698
half	0.4737	0.1705	0.3558
half	0.1895	0.3044	0.5061
half	0.1718	0.1443	0.6839
half	0.1652	0.1051	0.7297
half	0.8040	0.1162	0.0798
half	0.4317	0.2896	0.2787
half	0.7868	0.0605	0.1527
half	0.1242	0.8142	0.0616
half	0.7432	0.1144	0.1424
half	0.2248	0.1638	0.6114
half	0.1067	0.8001	0.0932
half	0.6672	0.1030	0.2299
half	0.1723	0.1455	0.6822
half	0.6605	0.0861	0.2534
half	0.1621	0.0411	0.7968
half	0.4177	0.1280	0.4544
half	0.5195	0.1525	0.3280
half	0.4598	0.2510	0.2892
half	0.0793	0.8382	0.0825
half	0.4489	0.3736	0.1775
half	0.6677	0.1238	0.2085
half	0.1284	0.6162	0.2554
half	0.0640	0.8952	0.0408
half	0.3950	0.3438	0.2612
half	0.1453	0.3600	0.4947
half	0.4397	0.1092	0.4511
half	0.6157	0.1790	0.2054
half	0.6526	0.1011	0.2463
half	0.1000	0.8403	0.0597
half	0.2891	0.5092	0.2017
half	0.1845	0.0944	0.7211
half	0.6372	0.2683	0.0945
half	0.5314	0.0487	0.4199
half	0.2762	0.4790	0.2448
half	0.4161	0.1196	0.4643
half	0.5578	0.1785	0.2637
half	0.7703	0.0756	0.1541
half	0.0449	0.9144	0.0407
half	0.4917	0.3747	0.1336
half	0.0510	0.8646	0.0844
half	0.7801	0.1182	0.1017
half	0.3765	0.1093	0.5141
half	0.2049	0.3795	0.4156
half	0.6523	0.2070	0.1408
half	0.4170	0.1416	0.4414
half	0.5322	0.2540	0.2137
half	0.0501	0.8909	0.0590
half	0.2084	0.6145	0.1771
half	0.4449	0.0926	0.4624
half	0.4477	0.2186	0.3336
half	0.5599	0.2914	0.1487
half	0.5813	0.2540	0.1647
half	0.5485	0.1503	0.3012
half	0.1924	0.2156	0.5920
half	0.4407	0.0778	0.4815
half	0.2718	0.1322	0.5960
half	0.2726	0.1630	0.5644
half	0.0365	0.9246	0.0389
half	0.1426	0.3127	0.5447
half	0.1712	0.5869	0.2419
half	0.1664	0.6262	0.2074
half	0.6023	0.2047	0.1931
half	0.3536	0.2692	0.3772
half	0.4931	0.2003	0.3067
half	0.0880	0.1010	0.8110
half	0.5466	0.2190	0.2344
half	0.2513	0.1669	0.5818
half	0.1663	0.0927	0.7409
half	0.1552	0.4402	0.4046
half	0.5072	0.2398	0.2530
fall	0.3000	0.3720	0.3280
fall	0.2194	0.6135	0.1671
fall	0.5993	0.0931	0.3076
fall	0.6946	0.1697	0.1357
fall	0.3737	0.2919	0.3343
fall	0.2286	0.1085	0.6629
fall	0.5285	0.2149	0.2566
fall	0.6064	0.1380	0.2557
fall	0.7683	0.0621	0.1696
fall	0.3994	0.3412	0.2594
fall	0.1748	0.2790	0.5462
fall	0.3679	0.3754	0.2568
fall	0.2210	0.1093	0.6698
fall	0.2618	0.5385	0.1997
fall	0.4888	0.3896	0.1217
fall	0.3987	0.1286	0.4727
fall	0.1107	0.8122	0.0771
fall	0.2972	0.2901	0.4126
fall	0.6143	0.1909	0.1948
fall	0.6055	0.2356	0.1590
fall	0.3913	0.4739	0.1349
fall	0.5046	0.3625	0.1329
fall	0.2494	0.2738	0.4768
fall	0.6181	0.1659	0.2160
fall	0.3134	0.3444	0.3423
fall	0.6381	0.1718	0.1901
fall	0.5184	0.0942	0.3874
fall	0.3790	0.1342	0.4868
fall	0.6014	0.0769	0.3217
fall	0.0332	0.9387	0.0281
fall	0.1202	0.7883	0.0915
fall	0.5527	0.2785	0.1688
fall	0.0436	0.9092	0.0472
fall	0.1433	0.5132	0.3435
fall	0.4174	0.3930	0.1896
fall	0.1610	0.1074	0.7316
fall	0.5007	0.3719	0.1275
fall	0.4845	0.0835	0.4320
fall	0.6832	0.1072	0.2096
fall	0.1093	0.8251	0.0656
fall	0.8045	0.0805	0.1149
fall	0.1965	0.3822	0.4213
fall	0.6021	0.1373	0.2606
fall	0.0700	0.8781	0.0519
fall	0.3306	0.5562	0.1131
fall	0.5300	0.3059	0.1641
fall	0.4304	0.3403	0.2293
fall	0.5623	0.1144	0.3233
fall	0.2226	0.7262	0.0512
fall	0.4374	0.0785	0.4841
fall	0.5594	0.2746	0.1660
fall	0.0495	0.8942	0.0563
fall	0.2919	0.5486	0.1595
fall	0.2539	0.6195	0.1266
fall	0.2198	0.1190	0.6612
fall	0.5844	0.0670	0.3487
fall	0.1635	0.1332	0.7033
fall	0.4310	0.2092	0.3598
fall	0.6343	0.1135	0.2522
fall	0.2715	0.1409	0.5876
fall	0.2414	0.0946	0.6640
fall	0.4828	0.0647	0.4525
fall	0.6755	0.0506	0.2739
fall	0.7081	0.0942	0.1978
fall	0.3496	0.4871	0.1632
fall	0.8218	0.0893	0.0889
fall	0.5332	0.0935	0.3733
fall	0.2753	0.5579	0.1668
fall	0.6844	0.1659	0.1497
fall	0.5846	0.1238	0.2916
half	0.2748	0.1179	0.6073
half	0.5547	0.2153	0.2300
half	0.7411	0.1752	0.0837
half	0.1695	0.6840	0.1465
half	0.1054	0.7591	0.1355
half	0.0892	0.8387	0.0721
half	0.3244	0.3369	0.3386
half	0.2594	0.0793	0.6613
half	0.0693	0.8737	0.0570
half	0.7143	0.1237	0.1620
half	0.0931	0.8607	0.0462
half	0.6467	0.1716	0.1817
half	0.2231	0.2709	0.5059
half	0.4041	0.0610	0.5349
half	0.3022	0.5126	0.1852
half	0.1613	0.4286	0.4101
half	0.1745	0.5820	0.2435
half	0.1157	0.7259	0.1584
half	0.8142	0.0829	0.1029
half	0.7170	0.1466	0.1363
half	0.4173	0.3685	0.2142
half	0.7049	0.1201	0.1750
half	0.7143	0.1492	0.1365
half	0.1640	0.7552	0.0808
half	0.2293	0.5736	0.1971
half	0.2651	0.3675	0.3673
half	0.5129	0.2612	0.2258
half	0.5799	0.1300	0.2901
half	0.3154	0.1037	0.5809
half	0.0694	0.6962	0.2344
half	0.3564	0.0656	0.5780
half	0.4935	0.2353	0.2712
half	0.2529	0.1481	0.5990
half	0.7506	0.0624	0.1870
half	0.4387	0.3636	0.1977
half	0.2602	0.3821	0.3576
half	0.7371	0.0671	0.1958
half	0.7446	0.1223	0.1332
half	0.3228	0.1190	0.5582
half	0.1120	0.8114	0.0766
half	0.3367	0.4976	0.1657
half	0.2233	0.2081	0.5685
half	0.4971	0.1809	0.3220
half	0.4684	0.1250	0.4066
half	0.4815	0.2336	0.2849
half	0.1691	0.2140	0.6170
half	0.1477	0.0650	0.7873
half	0.5998	0.2504	0.1498
half	0.0701	0.8807	0.0492
half	0.1424	0.3340	0.5237
half	0.4261	0.2094	0.3645
