pop	clust1	clust2
fall	0.3202	0.6798
fall	0.6629	0.3371
fall	0.5344	0.4656
fall	0.5023	0.4977
fall	0.6251	0.3749
fall	0.5188	0.4812
fall	0.5861	0.4139
fall	0.6695	0.3305
fall	0.4787	0.5213
fall	0.4916	0.5084
fall	0.4689	0.5311
fall	0.6127	0.3873
fall	0.3707	0.6293
fall	0.3933	0.6067
fall	0.6274	0.3726
fall	0.2165	0.7835
fall	0.4827	0.5173
fall	0.5149	0.4851
fall	0.4936	0.5064
fall	0.3835	0.6165
fall	0.4398	0.5602
fall	0.5022	0.4978
fall	0.5449	0.4551
fall	0.4797	0.5203
fall	0.5277	0.4723
fall	0.6364	0.3636
fall	0.6114	0.3886
fall	0.6557	0.3443
fall	0.1213	0.8787
fall	0.2534	0.7466
fall	0.4939	0.5061
fall	0.1539	0.8461
fall	0.3798	0.6202
fall	0.4333	0.5667
fall	0.6213	0.3787
fall	0.4240	0.5760
fall	0.6558	0.3442
fall	0.6213	0.3787
fall	0.2222	0.7778
fall	0.6291	0.3709
fall	0.4616	0.5384
fall	0.5736	0.4264
fall	0.1919	0.8081
fall	0.3461	0.6539
fall	0.4629	0.5371
fall	0.4476	0.5524
fall	0.5971	0.4029
fall	0.2371	0.7629
fall	0.6721	0.3279
fall	0.4760	0.5240
fall	0.1779	0.8221
fall	0.3704	0.6296
fall	0.3255	0.6745
fall	0.6007	0.3993
fall	0.6812	0.3188
fall	0.5983	0.4017
fall	0.5278	0.4722
fall	0.6098	0.3902
fall	0.6076	0.3924
fall	0.6459	0.3541
fall	0.7025	0.2975
fall	0.7245	0.2755
fall	0.6187	0.3813
fall	0.3891	0.6109
fall	0.5918	0.4082
fall	0.6437	0.3563
fall	0.3621	0.6379
fall	0.5508	0.4492
fall	0.5965	0.4035
half	0.6061	0.3939
half	0.5140	0.4860
half	0.4982	0.5018
half	0.3119	0.6881
half	0.2741	0.7259
half	0.2223	0.7777
half	0.4682	0.5318
half	0.6734	0.3266
half	0.2046	0.7954
half	0.5916	0.4084
half	0.1962	0.8038
half	0.5320	0.4680
half	0.4912	0.5088
half	0.7070	0.2930
half	0.3909	0.6091
half	0.4355	0.5645
half	0.3699	0.6301
half	0.2811	0.7189
half	0.6162	0.3838
half	0.5535	0.4465
half	0.4384	0.5616
half	0.5765	0.4235
half	0.5467	0.4533
half	0.2842	0.7158
half	0.3462	0.6538
half	0.4602	0.5398
half	0.4970	0.5030
half	0.5985	0.4015
half	0.6496	0.3504
half	0.2876	0.7124
half	0.6858	0.3142
half	0.5229	0.4771
half	0.5889	0.4111
half	0.6622	0.3378
half	0.4598	0.5402
half	0.4628	0.5372
half	0.6831	0.3169
half	0.5833	0.4167
half	0.6185	0.3815
half	0.2357	0.7643
half	0.3747	0.6253
half	0.5226	0.4774
half	0.5684	0.4316
half	0.6055	0.3945
half	0.5165	0.4835
half	0.5370	0.4630
half	0.6921	0.3079
half	0.4843	0.5157
half	0.1743	0.8257
half	0.4441	0.5559
half	0.5432	0.4568
half	0.4910	0.5090
half	0.4925	0.5075
half	0.5628	0.4372
half	0.6012	0.3988
half	0.3356	0.6644
half	0.4384	0.5616
half	0.5219	0.4781
half	0.3825	0.6175
half	0.4321	0.5679
half	0.5790	0.4210
half	0.4788	0.5212
half	0.5235	0.4765
half	0.2158	0.7842
half	0.6438	0.3562
half	0.5411	0.4589
half	0.2556	0.7444
half	0.4525	0.5475
half	0.3505	0.6495
half	0.5566	0.4434
half	0.4678	0.5322
half	0.4305	0.5695
half	0.5582	0.4418
half	0.5578	0.4422
half	0.4500	0.5500
half	0.5034	0.4966
half	0.4556	0.5444
half	0.6100	0.3900
half	0.5841	0.4159
half	0.4964	0.5036
half	0.4851	0.5149
half	0.6164	0.3836
half	0.6203	0.3797
half	0.5836	0.4164
half	0.6493	0.3507
half	0.5516	0.4484
half	0.6307	0.3693
half	0.6912	0.3088
half	0.5123	0.4877
half	0.5803	0.4197
half	0.6225	0.3775
half	0.6546	0.3454
half	0.5993	0.4007
half	0.5428	0.4572
half	0.5595	0.4405
half	0.5909	0.4091
half	0.4419	0.5581
half	0.4095	0.5905
half	0.6042	0.3958
half	0.2910	0.7090
half	0.6576	0.3424
half	0.4124	0.5876
half	0.4974	0.5026
half	0.5240	0.4760
half	0.2664	0.7336
half	0.5713	0.4287
half	0.4520	0.5480
half	0.5300	0.4700
half	0.6142	0.3858
half	0.6092	0.3908
half	0.5517	0.4483
half	0.3688	0.6312
half	0.4948	0.5052
half	0.6137	0.3863
half	0.5082	0.4918
half	0.6492	0.3508
half	0.6129	0.3871
half	0.5613	0.4387
half	0.4303	0.5697
half	0.5137	0.4863
half	0.5258	0.4742
half	0.6058	0.3942
half	0.4674	0.5326
half	0.5888	0.4112
half	0.4992	0.5008
half	0.6409	0.3591
half	0.5795	0.4205
half	0.3564	0.6436
half	0.4653	0.5347
half	0.6534	0.3466
half	0.5578	0.4422
half	0.2099	0.7901
half	0.5548	0.4452
half	0.2633	0.7367
half	0.7172	0.2828
half	0.5622	0.4378
half	0.6502	0.3498
half	0.6209	0.3791
half	0.5493	0.4507
half	0.5160	0.4840
half	0.6806	0.3194
half	0.1598	0.8402
half	0.4567	0.5433
half	0.4949	0.5051
half	0.7796	0.2204
half	0.5164	0.4836
half	0.5233	0.4767
half	0.5241	0.4759
half	0.5950	0.4050
half	0.5176	0.4824
half	0.5175	0.4825
half	0.5929	0.4071
half	0.5078	0.4922
half	0.5935	0.4065
half	0.6326	0.3674
half	0.6515	0.3485
half	0.5135	0.4865
half	0.6552	0.3448
half	0.5785	0.4215
half	0.6291	0.3709
half	0.5500	0.4500
half	0.5591	0.4409
half	0.6591	0.3409
half	0.5745	0.4255
half	0.2455	0.7545
half	0.4274	0.5726
half	0.5785	0.4215
half	0.5369	0.4631
half	0.4381	0.5619
half	0.7284	0.2716
half	0.5492	0.4508
half	0.6196	0.3804
half	0.4744	0.5256
half	0.6894	0.3106
half	0.4671	0.5329
half	0.5186	0.4814
half	0.5611	0.4389
half	0.5207	0.4793
half	0.5274	0.4726
half	0.4857	0.5143
half	0.5956	0.4044
half	0.5054	0.4946
half	0.1398	0.8602
half	0.4941	0.5059
half	0.6624	0.3376
half	0.6069	0.3931
half	0.6534	0.3466
half	0.6116	0.3884
half	0.4221	0.5779
half	0.6876	0.3124
half	0.3520	0.6480
half	0.5114	0.4886
half	0.6038	0.3962
half	0.5196	0.4804
half	0.3871	0.6129
half	0.4395	0.5605
half	0.4754	0.5246
half	0.5865	0.4135
half	0.7054	0.2946
half	0.4982	0.5018
half	0.6809	0.3191
half	0.5953	0.4047
half	0.5503	0.4497
half	0.6112	0.3888
half	0.6749	0.3251
half	0.2061	0.7939
half	0.5076	0.4924
half	0.5580	0.4420
half	0.4766	0.5234
half	0.4179	0.5821
half	0.6098	0.3902
half	0.5876	0.4124
half	0.5852	0.4148
half	0.7501	0.2499
half	0.5154	0.4846
half	0.7124	0.2876
half	0.5498	0.4502
half	0.3985	0.6015
half	0.5842	0.4158
half	0.5678	0.4322
half	0.2551	0.7449
half	0.4298	0.5702
half	0.4051	0.5949
half	0.4914	0.5086
half	0.5544	0.4456
half	0.6289	0.3711
half	0.7137	0.2863
half	0.6487	0.3513
half	0.5297	0.4703
half	0.6228	0.3772
half	0.5839	0.4161
half	0.4224	0.5776
half	0.6446	0.3554
half	0.4531	0.5469
half	0.5930	0.4070
half	0.4363	0.5637
half	0.3651	0.6349
half	0.5443	0.4557
half	0.6465	0.3535
half	0.5941	0.4059
half	0.6465	0.3535
half	0.5917	0.4083
half	0.4158	0.5842
half	0.3331	0.6669
half	0.5028	0.4972
half	0.4678	0.5322
half	0.4306	0.5694
half	0.6473	0.3527
half	0.6967	0.3033
half	0.4182	0.5818
half	0.6393	0.3607
half	0.5602	0.4398
half	0.7258	0.2742
half	0.5124	0.4876
half	0.5226	0.4774
half	0.5829	0.4171
half	0.4214	0.5786
half	0.3822	0.6178
half	0.3253	0.6747
half	0.6246	0.3754
half	0.3494	0.6506
half	0.5998	0.4002
half	0.4908	0.5092
half	0.3765	0.6235
half	0.6161	0.3839
half	0.4399	0.5601
half	0.5948	0.4052
half	0.5206	0.4794
half	0.5104	0.4896
half	0.5180	0.4820
half	0.3045	0.6955
half	0.5570	0.4430
half	0.6174	0.3826
half	0.7277	0.2723
half	0.4912	0.5088
half	0.5766	0.4234
half	0.5781	0.4219
half	0.6282	0.3718
half	0.3560	0.6440
half	0.5993	0.4007
half	0.5979	0.4021
half	0.5876	0.4124
half	0.4774	0.5226
half	0.5685	0.4315
half	0.5140	0.4860
half	0.3162	0.6838
half	0.4445	0.5555
half	0.5966	0.4034
half	0.5853	0.4147
half	0.6428	0.3572
half	0.4584	0.5416
half	0.4896	0.5104
half	0.4439	0.5561
half	0.4596	0.5404
half	0.7384	0.2616
half	0.4296	0.5704
half	0.5514	0.4486
half	0.5767	0.4233
half	0.6646	0.3354
half	0.6443	0.3557
half	0.3535	0.6465
half	0.1708	0.8292
half	0.4952	0.5048
half	0.4378	0.5622
half	0.5516	0.4484
half	0.4225	0.5775
half	0.7050	0.2950
half	0.6721	0.3279
half	0.5516	0.4484
half	0.6471	0.3529
half	0.4573	0.5427
half	0.5686	0.4314
half	0.4981	0.5019
half	0.5287	0.4713
half	0.3859	0.6141
half	0.7072	0.2928
half	0.6263	0.3737
half	0.4532	0.5468
winter	0.5484	0.4516
half	0.5172	0.4828
winter	0.6772	0.3228
winter	0.7001	0.2999
winter	0.5348	0.4652
half	0.5783	0.4217
winter	0.5892	0.4108
summer	0.6381	0.3619
half	0.6246	0.3754
summer	0.4793	0.5207
summer	0.6359	0.3641
summer	0.6921	0.3079
summer	0.5679	0.4321
summer	0.6560	0.3440
winter	0.4324	0.5676
half	0.5315	0.4685
winter	0.5599	0.4401
winter	0.6104	0.3896
winter	0.5402	0.4598
winter	0.4458	0.5542
half	0.2870	0.7130
winter	0.5884	0.4116
summer	0.4144	0.5856
summer	0.6348	0.3652
summer	0.6953	0.3047
summer	0.5848	0.4152
summer	0.6086	0.3914
summer	0.6239	0.3761
winter	0.6323	0.3677
winter	0.5611	0.4389
winter	0.7297	0.2703
winter	0.4522	0.5478
winter	0.5544	0.4456
half	0.4440	0.5560
winter	0.4702	0.5298
summer	0.5166	0.4834
half	0.5224	0.4776
summer	0.6669	0.3331
summer	0.4747	0.5253
summer	0.6242	0.3758
summer	0.6757	0.3243
winter	0.5285	0.4715
winter	0.6559	0.3441
